Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
TURKEY; ARMENIA:  DVINA,40,44.6,12000,3,,
IRAN:  TABRIZ,38,46.2,,3,,
TURKEY:  ANTAKYA (ANTIOCH),36,36,,3,,
IRAQ:  BAGHDAD,33,44.5,,2,,
IRAN:  REY (RAY),35.3,51.2,,3,,
TURKEY; ARMENIA:  DVINA,40,44.6,,2,,
"JAPAN: NAOETSU, NIIGATA PREFECTURE",37.1,138,,3,3,3
IRAN:  TABRIZ; ARMENIA:  JEREVAN (ERIVAN),38,46.2,,3,,
IRAN:  REY,35.3,51.2,,2,,
TURKEY,41,29,,,,
JAPAN:  SANRIKU,38.5,143.8,,4,4,4
IRAN:  SAIMAREH,33.2,47.2,20000,4,4,4
CHINA:  NINGXIA: QINGTONGXIA,37.8,105.9,,2,3,2
SPAIN; ALGERIA; MOROCCO,36,-8,,3,,3
EGYPT:  AL-QAHIRAH (CAIRO),30,31.1,1000,3,3,3
JAPAN:  HONSHU:  NIIGATA,37.5,138.1,,,4,
JAPAN:  NANKAIDO,33,135.3,,3,3,3
IRAN:  ARDABIL,38.3,48.3,,3,,
ARMENIA:  DVIN; IRAN:  ARDABIL,40,44.6,150000,4,4,4
ITALY:  VERONA,45.3,11,,2,,
BALKANS NW:  MACEDONIA,41.7,22.9,,,,
ITALY:  ROMA (ROME),41.9,12.6,,3,,
IRAN:  REY (RAY),35.3,51.2,,3,,
"IRAQ:  KUFAH,BAGHDAD",33.2,44.2,,2,,
IRAN:  DINAVAR,34.6,47.8,,3,,
JAPAN:  KUMANONADA,33.8,136.7,,1,,1
UZBEKISTAN:  BUKHARA,39.7,64.5,,3,,
IRAN:  LADNESA,36,51.7,,,,
TURKMENISTAN:  NISA,38,58.3,5000,3,,
"SYRIA:  HALAB (ALEPPO),RAHBA,DULUK; TURKEY: ANTAKYA",36.1,37.1,,3,,
TURKMENISTAN:  NISA,38,58.3,,3,,
IRAN:  HAMADAN,34.9,48.4,,2,,
"IRAQ:  HALWAN; IRAN:  KEREND,QASR-E-SHIRIN",34.8,44.8,,3,,
"IRAN:  RAY, TALQAN",35.7,51.4,,,,
IRAN:  REY (RAY); AFGHANISTAN: TALQAN,35.3,51.2,,3,3,3
"IRAQ:  HALWAN,JALULA,KHANIKIN,BAGHDAD",33.2,44.2,,3,,3
ITALY:  SICILY,38,15,,,4,
TURKEY:  ANTAKYA (ANTIOCH); SYRIA,36.1,36.1,,2,,
IRAN:  TAHERI (SIRAF),27.4,52.2,,3,,
IRAN:  TAHERI (SIRAF),27.7,52.3,2000,3,4,3
ITALY:  BENEVENTO,41.1,14.8,,2,,
IRAQ:  AL-MAWSIL (MOSUL),36.2,43.1,,3,,
ITALY:  BENEVENTO,41.1,14.8,,,,
SYRIA:  DIMASHQ (DAMASCUS),33.5,36.3,,2,,
CHINA:  HUNAN PROVINCE,29,112,,2,2,2
CHINA:  JIANGSU PROVINCE:   CHANGZHOU,31.8,119.9,,1,,1
BALKANS NW:  SLOVENIA:  LJUBLJANA,46,14.5,,3,,
CHINA:  SHAANXI PROVINCE,35,110,62,1,2,1
CHINA:  SHAANXI PROVINCE:  TSIN,34.3,109,60,,2,
ITALY:  VERONA,45.3,11,,2,,
FRANCE:  BURGUNDY,47,6,,3,,
"TURKEY:  KARS, DIGOR, ANI (ARMENIA)",40.5,43.3,,2,,
"IRAN-IRAQ:  DINAVAR,BAGHDAD, TIGRIS-KTESIPHON",33.2,44.2,16000,3,,
IRAN-IRAQ:  DAINAWAR,27.665,52.348,16000,4,4,4
TURKEY,41,29.5,,,,
ICELAND:  SUDURLAND,64,-21,11,,1,
SWITZERLAND,47.5,7.6,,3,,
CHINA:  SHAANXI PROVINCE:  DATONG,39.8,113.1,,1,,1
"JAPAN:  OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,,,4,3
"ISRAEL:  RAMALA, GAZA, NABLUS; EGYPT",33,35,70000,3,4,3
NORTH KOREA:  KAESONG,37.6,126.3,,2,,
CHINA:  JIANGSU PROVINCE:  TAICHOU,32,119,22391,4,4,4
"CHINA:  SHAANXI PROVINCE:  DINGXIANG, XINXIAN",38.4,112.9,32300,4,,
TURKEY:  ISTANBUL (CONSTANTINOPLE),38.4,27.3,,2,3,2
TUNISIA:  AL-KAIRAWAN,35.7,10,,3,,
IRAN:  TABRIZ,38,46.2,40000,4,,
IRAN:  TABRIZ,38.1,46.3,50000,4,4,4
TURKEY,39.7,39.5,,2,,
TURKEY:  ANI (ARMENIA),40.5,43.5,,3,,
UNITED KINGDOM:  BRITIAN,52,0,,,,
"IRAN:  KHORASAN:  BAIHAQ, NISHAPUR",36,58.8,,3,,
IRAN:  KHUZESTAN:  ARRJAN,30.6,50.3,,3,,
CHINA:  BEIJING,39.7,116.3,25000,4,4,4
"IRAQ:  MOSUL, KIRKUK, HAMADAN, TIKRIT, WASIT, AMAH",34.3,44.7,,3,,
"LEBANON:  TARABULUS (TRIPOLIS), TYRE; TURKEY; IRAQ",34.3,35.5,,3,,
"TURKEY:  ISTANBUL,TRAKYA, ERDEK, IZNIK",40.4,28.9,,,,
"TURKEY:  IZNIK,NICAEA",40.7,29.7,,3,,
"ITALY:  SICILY:  CATANIA,MESSINA,MILAZZO,PALE",38.1,15.1,975,3,,
"IRAN:  KHORASAN,JABAL",35,58,,3,,
IRAN:  KHORASAN,34,58,,3,,
CHINA:  GUANGDONG PROVINCE,23.6,116.5,,4,3,4
"ISRAEL:  RAMLA,PALESTINE,JERUSALEM,TABUK,KUFA,HALLA",29.5,34.95,,4,3,4
"CHINA:  HEBEI PROVINCE:  CANGZHOU, HEJIAN",38.5,116.1,,3,3,3
EGYPT:  AL-QAHIRAH (CAIRO); ISRAEL:  JERUSALEM,30,31.1,,2,,
"YEMEN:  SANA, ZABID; SAUDI ARABIA:  MECCA",14.2,43.3,50,2,1,2
SYRIA:  (MANY COUNTRIES),35,38,,3,,
TURKEY,40.5,28.5,,,,
TURKEY:  ERZURUM,39.9,41.1,,,,
"IRAN:  ARAJAN,KHUZESTAN",31,49,,3,,
"IRAQ:  MESOPOTAMIA,JAZIRAH,BADHARAYA; SYRIA",34,44,,2,,
ITALY:  SIRACUSA (SYRACUSE),37,15.3,1000,3,,
GEORGIA:  TMOGVI,41.4,43.2,,3,,
JAPAN:  SANRIKU,40.5,143,,,,
SYRIA:  TUDMUR (PALMYRA),34.3,38.2,,3,,
TURKEY:  ANTAKYA (ANTIOCH); SYRIA,36.1,36.1,,3,,
JAPAN:  ENSHUNADA,34,137.5,400,,,
JAPAN:  NANKAIDO,33,135.5,,,,1
IRAN:  KHORASAN,36,59,60000,,4,
"CHINA:  SHANXI PROVINCE:  CHIN,HSI TAI IN TAI,YUAN",37.5,112.6,,3,3,3
AFGHANISTAN:  GERAT,35,62.1,,2,,
"TURKEY:  ANTAKYA (ANTIOCH), AL-DAINOOR",36.2,36.1,,1,,1
TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,3,,3
TURKEY:  VAN,38.5,43.4,,3,,
"TURKEY:  SANAOSATA,GHISN-MANSUR,KNESUN,MARAS",37.5,38.5,,,,
TURKEY:  ANTAKYA (ANTIOCH); SYRIA:  HALAB (ALEPPO),36.1,36.1,,2,,
ITALY:  VITERBO,42.42,12.1,,1,,1
"IRAN:  HENGAM ISLAND,KISH ISLAND",26.4,55.5,,3,,
TURKEY:  ANTIOCH; SYRIA: ALEPPO; ISRAEL: PALESTINE,36.1,36.1,,3,,
"TURKEY:  HARRAN,KUFA,SAMSAT,EL-SUN",36.8,39,,3,,
ITALY:  N,45.5,11,,,,
ITALY:  VENEZIA (VENICE) TO EMILIA,44.8,11.3,,3,,
UNITED KINGDOM:  IRELAND:  SLIABH-ELPA,,,,4,3,4
IRAN:  QAZVIN,36.2,50,,3,,
CHINA:  GANSU PROVINCE,36.1,103.7,,3,,3
ITALY:  BENEVENTO,41.1,14.8,,,,
"IRAQ:  AL-MAWSIL (MOSUL),JABAL,JAZIRAH",36.2,43.1,,3,,
IRAQ:  BAGHDAD,33.2,44.2,,2,,
"IRAQ-SYRIA:  MESOPOTAMIA, MOSUL",36.3,43.1,,4,3,4
ITALY:  SICILY:  CATANIA,37.3,15.1,15000,,,
AZERBAIJAN:  GYZNDZHA,40.3,46.3,230000,4,4,4
CHINA:  NINGXIA,38.5,106.3,10000,3,4,3
IRAQ:  BAGHDAD,33.2,44.4,,,,
PORTUGAL:  LISBON,38.7,-9.1,1000,1,,
SYRIA:  BUSRA,32.6,36.7,,3,,
GREECE-ALBANIA,39.8,20.1,,,,
ITALY:  BORGOGNE,45.8,8.1,,,,
SYRIA:  DIMASHQ; TURKEY:ANTIOCH; LEBANON:TARABULUS,34.5,36.5,2000,,,
"SYRIA:  HALAB (ALEPPO), MALATICH",36.2,37.2,2000,3,4,3
SYRIA:  HALAB (ALEPPO),35.1,36.3,8000,4,4,4
