Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
"IRAN:  ABIZ, SARBISHEH",33.734,60.405,12,2,1,2
SOUTH KOREA,35.2,127.6,,1,,1
CHILE:  TALTAL,-24.5,-70,1,2,1,2
CHINA:  GANSU PROVINCE,34.2,105.7,115,3,1,3
CHINA:  YUNNAN PROVINCE,26.6,103,30,2,1,2
TAIWAN,22.3,120.8,10,1,,1
"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE",6.1,94.7,9,2,1,2
"INDONESIA:  N SUMATERA:  TAPANULI, KARO",3.5,97.5,17,2,1,2
"SANRIKU, JAPAN",38.2,142.2,,,,
CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  S,39.5,74.2,,1,2,1
RUSSIA:  NEAR KAMCHATKA,55.2,164,,1,,1
EL SALVADOR:  SAN VICENTE,13.2,-88.7,400,,,
JAPAN:  NII JIMA,34.4,139.2,3,1,,
CHINA:  QINGHAI PROVINCE,35.5,97.6,,1,,1
"NICARAGUA:  CHINANDEGA,PORT CORINTO",12.6,-87.2,,2,,
"ALGERIA:  GUELMA, LAPAINE",36.4,7.5,,1,1,1
RUSSIA:  KURIL ISLANDS,44.5,149.4,,1,,
FIJI ISLANDS,-21.5,-177,,,,
"PAPUA NEW GUINEA:  KERAVIA, RABAUL, KOKOPO",-4.271,152.203,,1,3,1
"MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ",18.523,-95.878,34,2,1,2
CHINA:  SHANDONG PROVINCE,35.4,115.1,390,4,3,4
PHILIPPINES:  LUZON,14.5,121.5,1,3,1,3
CHINA:  SHANXI PROVINCE,37.8,112.5,,2,2,2
RUSSIA:  KAMCHATKA,56,162.5,,,,
"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",-9.4,110.2,1,3,1,3
"MEXICO:  CHILPANCINGO,TIXTLA",17.3,-99.3,,3,,
INDONESIA:  NEW GUINEA:  FAKFAK,-3,132.3,,,,
AFGHANISTAN:  HINDU KUSH,36.5,70.5,,3,,3
TAIWAN:  TAIDONG,22.9,121.2,,1,,1
MEXICO:  GUERRERO:  OMETEPEC,16.656,-98.338,4,2,1,2
"PERU:  HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",-10.637,-76.562,15,2,,2
"EL SALVADOR:  AHUACHAPAN,ATIQUIZAYA,TURIN,LA PUERTA",13.5,-89.5,,3,,
MEXICO:  OMETEPEC,16.1,-98.3,,3,,
INDONESIA:  NEW GUINEA,-5.041,131.579,,,,2
COLOMBIA: EJE CAFETERO,4.68,-75.69,6,3,1,3
INDONESIA:  NEW GUINEA:  FAKFAK,-3,132.3,,1,,1
PAPUA NEW GUINEA,-5.1,153.1,,,,
CANADA:  BRITISH COLUMBIA,52.2,-131.9,,,,
TURKEY:  KIRSEHIR,39.544,33.911,224,3,3,3
"NICARAGUA:  LEON,CHINANDEGA",12.2,-86.9,,2,,
NICARAGUA:  LEON (TELICA VOLCANO DESTROYED),12.3,-86.9,,3,,
PAPUA NEW GUINEA,-6,147.8,,1,,1
CHINA:  YUNNAN PROVINCE,21.7,99.5,,1,2,1
INDONESIA:  SULAWESI ISLAND,-1,120,,3,1,3
JAPAN TRENCH,36.7,141.4,,,,
"E. HOKKAIDO ISLAND, JAPAN",43.6,144.3,,,1,1
JAPAN:  SW RYUKYU ISLANDS,25.208,125.115,,,,1
MEXICO:  TELOLOAPAN,18.2,-99.5,,2,,
"ECUADOR:  ALANGASI,SANGOLQUI,TINGO-PICHINCHA",-0.3,-78.4,,4,,4
JAPAN:  NEAR E COAST HONSHU,37.1,141.7,1,1,1,1
JAPAN:  NEAR E COAST HONSHU,37.2,141.7,,,,
JAPAN:  OFF EAST COAST HONSHU,37.5,142.2,,,,
JAPAN:  NEAR E COAST HONSHU,37,141.7,,,,
JAPAN:  SANRIKU,37.6,141.2,,,,
ALASKA,55.48,-158.37,,,,
JAPAN:  SANRIKU,37,141.5,,,,
JAPAN:  SANRIKU,36.7,142.1,,,,
JAPAN:  SANRIKU,37,142.2,,,,
TAIWAN,22.9,121.5,,1,,1
TURKEY,36.3,30.7,,3,,
CHILE:  CHILLAN,-36.25,-72.25,30000,4,4,4
ITALY:  CALABRIA,38.5,14.7,,,,
PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-7.08,155.386,5,2,1,2
"SEIKAIDO, JAPAN",32.3,132,,,1,1
CHILE:  NORTH CENTRAL,-27,-70.5,,,,
SOLOMON ISLANDS,-9.295,159.234,,2,1,2
JAPAN:  HONSHU:  NW,40.1,139.5,27,2,1,2
"PHILIPPINES:  LUZON ISLAND, MINDOR ISLAND",13.5,121.25,,,,
AZORES:  ATLANTIC,37.198,-24.356,,2,,2
GHANA:  ACCRA,5.568,-0.625,22,3,1,3
PERU:  POMACANCHI,-12.5,-72,37,1,1,1
CUBA: SANTA CLARA,22.2,-79.1,,,,
CHINA:  YUNNAN PROVINCE,24.4,102.5,2,1,1,1
TURKEY,39.1,26.8,41,2,,
PERU:  CHUQUIBAMBA,-15.305,-72.19,,2,,2
TURKEY:  ERZINCAN,39.7,40.4,13,2,,
AFGHANISTAN,36.3,70.6,,2,,
"INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I",0,123,,2,,2
TURKEY:  ERZINCAN,39.907,39.586,32700,3,4,3
ITALY,38.1,13.5,,,,
ARGENTINA:  SAN JUAN,-31,-69,,,,
CHINA:  NEI MONGOL,42.7,121.3,,2,2,2
"NICARAGUA:  CORINTO,CHINANDEGA",12.5,-87.5,,2,,
"TURKEY:  KAYSERI,DEVELI",38.4,35.5,37,2,,
CHINA:  YUNNAN PROVINCE,23.9,102.3,181,3,3,3
TURKEY-CIS,41.7,43.8,16,2,,
CALIFORNIA; MEXICO,32.733,-115.5,9,4,1,4
PERU,-10.5,-77,179,3,3,3
CHINA:  YUNNAN PROVINCE,24.4,102.5,2,2,1,2
ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,52,178.2,,,,
JAPAN:  W. HOKKAIDO ISLAND,44.2,139.5,,1,1,2
CHINA:  LIAONING PROVINCE,40.2,122,,3,,3
CHILE:  NORTHERN,-22,-71,,,,
CHILE:  SOUTH CENTRAL,-41.5,-74.5,,,,
ROMANIA,45.8,26.8,1000,3,,
YEMEN:  RAZIH,16.4,43.5,1200,,4,
PAPUA NEW GUINEA:  BISMARCK SEA,-4.175,152.071,4,2,1,2
CYPRUS:  AMMOCHOSTOS,35.221,33.751,,2,,2
CALIFORNIA:  NORTHERN,40.5,-125.25,,1,,1
IRAN:  MOHAMMADABAD,33.527,58.776,730,3,3,3
ITALY:  CALABRIA,38.3,12.2,,,,
"MEXICO:  MICHOACAN, COLIMA, JALISCO",18.9,-102.9,,,,
CHINA:  HEILONGJIANG PROVINCE,47,127.2,132,3,3,3
CHINA:  YUNNAN PROVINCE,23.6,99.4,,2,1,2
"INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO",11.94,92.626,,4,1,4
"TUNISIA:  BOU-SAADIAH,ZAGHOUAN",36,10,,1,,1
"TURKEY:  VAN, ERCIS",39.196,43.444,430,,3,
CHINA:  SICHUAN PROVINCE,31.7,102.3,15,1,1,1
TURKEY:  ERZINCAN,39.7,39.4,15,,,
JAPAN:  SHIKOKU,32,132.1,,1,1,1
ATLANTIC OCEAN:  NORTHERN,37.301,-18.966,,,,
COSTA RICA-PANAMA,8.7,-83.2,6,2,1,2
COSTA RICA-PANAMA,8.5,-84,,,,
TAIWAN,23.3,120.3,319,2,3,2
CHINA:  YUNNAN PROVINCE,22.7,99.9,,1,2,1
CHINA:  YUNNAN PROVINCE:  SIMAO,23.1,100.3,90,4,2,4
PHILIPPINES:  MINDORO,13.5,121,,,,
ECUADOR:  GUAYAQUIL,-0.75,-81.5,200,2,3,2
COLOMBIA,4.6,-74.5,,2,,2
INDONESIA:  MINAHASSA PENINSULA,0,124,,,,
"ARGENTINA:  CANADA,SECA,LAS MALVINAS",-34.6,-67.9,,3,,
CHINA:  NEI MONGOL:  TONGLIAO,43,122,,2,2,2
GUATEMALA:  NEAR S COAST,14,-91,,,,
"PERU:  ICA, NAZCA",-15,-76,30,3,1,3
"ALBANIA:  PESHKOPIA, MAGELLARE",41.7,20.4,43,3,1,3
SOUTH AFRICA:  PRINCE EDWARD ISLAND,-49.5,32,,,,
MEXICO:  JUCHITAN,16.3,-95,,3,,
"TURKEY:  BALIKESIR,BIGADIC",39.2,28.2,16,2,,
"TURKEY:  KASTAMONU, KARGI",40.3,34.6,17,2,,
TURKEY:  CORUM,40.6,35,4,3,,
TURKEY,40.8,35.1,,3,,
"TURKEY:  NIKSAR, ERBAA",40.907,36.744,1000,4,3,4
BALKANS NW:  CROATIA,43.4,17.2,,,,
BALKANS NW:  BOSNIA-HERZEGOVINA,44.3,17,19,1,,
ECUADOR:  GUAYAQUIL,-2.1,-80.5,,2,,2
"PERU:  YANACOA, PAMPAMARCA",-14.2,-71.5,75,1,2,
MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS,17.397,-101.37,5,3,1,3
CHINA: XINJIANG WEIWUER ZIZHIQU PROVINCE,39.3,73.3,,2,3,2
CHILE:  ILLAPEL,-30.75,-72,11,1,1,1
ALGERIA:  MANSOURAH,36.1,4.5,,,,
ITALY:  CENTRAL,43.1,13.3,,,,
PHILIPPINES:  E OF,7.5,128,,,,
INDONESIA:  S SUMATERA,-1,101,,,,
"SE. HOKKAIDO ISLAND, JAPAN",41.2,143.3,,,,
"TURKEY:  HENDEK, ADAPAZARI",40.5,30.525,285,3,3,3
CHINA:  SICHUAN PROVINCE,30.6,104.1,,1,1,1
INDONESIA:   JAVA:  JOGYAKARTA,-9.5,110,213,3,3,3
PUERTO RICO:  SAN JUAN,19.3,-67.5,,,,
AUSTRALIA:  MACQUARIE ISLAND,-53,159,,,,
JAPAN:  HONSHU:  S,35.3,133.9,1400,4,4,4
NEW CALEDONIA:  LOYALTY ISLANDS,-22,171,,,,
KERMADEC ISLANDS:  S OF,-30,-177,,,,
MYANMAR (BURMA),21.5,93.5,,2,,
INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS,-6,134.5,,,,
"TURKEY:  LADIK, SAMSUN, HAVZA",40.867,33.651,4020,4,4,4
RUSSIA:  KAMCHATKA,54.9,156.8,,1,,
TURKEY:  ANATOLIA: NE,40,40,550,3,3,3
ARGENTINA:  SAN JUAN PROVINCE,-31.5,-68.5,8000,4,,
TURKEY,40.66,32.998,2381,3,,3
CHINA:  XINJIANG PROVINCE,44,84,3,1,1,1
INDONESIA:  FLORES,-8.5,123.5,,,,
IRAN:  GORGAN,36.8,54.5,20,2,1,2
PAPUA NEW GUINEA:  NEW IRELAND,-2.5,152.8,,,,
TURKEY:  USAK,38.9,29.3,21,,,
GREECE:  KAMPOS (LACONIA),36.7,22.5,,,,
NEW YORK:  MASSENA,44.957,-74.723,,2,,2
ECUADOR: COTOPAXI,-0.498,-78.75,,3,,3
CHINA:  XINJIANG,39.1,75,,1,,1
NEW CALEDONIA:  LOYALTY ISLANDS,-22.5,172,,,,
TURKEY:  AYVALIK,39.509,26.587,30,4,1,4
VANUATU ISLANDS,-19,169,,,,
JAPAN:  OFF SOUTHEAST COAST KII PENINSULA,34,137.1,1223,3,4,3
JAPAN:  HONSHU:  S,34.7,137.2,2306,4,4,4
"SANRIKU, JAPAN",40.9,142.1,,,,
UGANDA: MASAKA,-0.214,31.289,5,2,1,2
"TURKEY:  AELANA, CEYHAN, ADANA",37.244,35.859,300,,3,
"IRAN:  GARMSAR,KERAND,BANKUH",35.2,52.1,20,3,,
TURKEY,38.5,43.3,,2,,
"TURKEY:  VAN,BOLGESI",38.5,43.3,300,2,3,2
CAMEROON:  CONGO; CENTRAL AFRICAN REPUBLIC,2.5,15.6,,1,,
CHINA:  HEBEI PROVINCE,39.5,119,17,1,1,1
PAKISTAN:  MAKRAN COAST,24.5,63,300,4,3,4
"TURKEY:  DENIZLI, BURDUR",38,28.9,7,2,,
PAPUA NEW GUINEA:  NEW BRITAIN,-6,150,,,,
IRAN:  GIV (SE BIRJAND),32.5,59.1,3,3,,
ALGERIA:  HODNA MOUNTAINS,35.75,5,264,3,3,3
"TURKEY:  IIGIN, KONYA",38.2,31.8,12,,,
IRAN:  KAZERUN,29.4,51.4,,3,,
ALASKA:  UNIMAK ISLAND,53.492,-162.832,,,3,4
TURKEY:  USTUKRAN,39.23,41.374,840,2,3,2
BRITISH COLUMBIA,49.87,-124.92,,1,,1
CHILE:  NORTHERN,-26.5,-70.5,2,3,1,3
DOMINICAN REPUBLIC:  NORTHEASTERN COAST,19.25,-69,,1,4,3
DOMINICAN REPUBLIC:  NORTHEASTERN COAST,19.5,-69.5,,,2,
MYANMAR (BURMA),23.9,96.2,,,,
MYANMAR (BURMA),23.9,96.2,,,,
PAPUA NEW GUINEA:  NEW IRELAND,-4.5,153.5,,,,
PERU:  PISCO,-14,-76.25,,2,,2
ALASKA:  EAST ALEUTIAN ISLANDS,51.5,-174.5,,,,
KYRGYZSTAN,41.5,72.5,,2,,
TURKMENISTAN,39.3,55.4,400,3,3,3
"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5,800,3,,
TAIWAN,23.1,120.3,58,2,2,2
JAPAN:  HONSHU:  S COAST,33,135.6,1362,4,4,4
EL SALVADOR:  LA UNION,13.2,-87.5,,2,,
CHINA:  QINGHAI PROVINCE,33.3,99.5,,,,
NEW ZEALAND:  OFF COAST NORTH ISLAND,-38.85,178.87,,1,,1
CHINA:  YUNNAN PROVINCE,25,102,1,2,1,2
CALIFORNIA,35,-116.6,,2,,
PAPUA NEW GUINEA:  NEW BRITAIN,-6.5,148.5,,,,
NEW ZEALAND:  OFF COAST NORTH ISLAND,-38.42,178.88,,,,
CHINA:  SICHUAN PROVINCE,26.7,102.9,3,1,1,1
IRAN:  SHIRVAN,37.5,57.8,,2,,
COLOMBIA:  PASTO,1.3,-77.23,2,2,1,2
INDIA-CHINA,28.5,94,,,,
PAKISTAN:  GWADAR,25.5,63,,,,
ALGERIA,37,8,3,2,1,2
IRAN:  DUSTABAD,33.604,58.642,500,3,3,3
GREECE:  S:  PYLIA (MESSINIA),36.808,21.916,3,4,1,4
"PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75,233,3,,
"W. HOKKAIDO ISLAND, JAPAN",43.8,141,,,,1
"PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE",10.714,122.235,72,2,2,2
GREECE:  DODECANESE ISLANDS,35.64,27.158,,,,1
INDONESIA:  SERAM,-3,127.5,,,,
"TOKAIDO, JAPAN",33.1,135.6,,,,
GREECE:  VASILIKI (LEUKAS),38.532,20.425,2,3,1,
ITALY:  N,44.6,10.9,,,,
"PERU:  AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",-17.4,-71,1,2,,
ALASKA:  ALASKA PENINSULA,54.5,-161,,,,
CHINA:  SHANDONG PROVINCE,37.2,121.8,,1,,1
CHINA:  SICHUAN PROVINCE,29.5,100.5,800,3,3,3
PERU:  CANETE,-13.1,-76.2,4,2,,
INDONESIA:  OFF NORTHWEST COAST,6,95,,,,
CHINA:  YUNNAN PROVINCE,26.4,99.7,110,2,3,2
JAPAN:  FUKUI,36.5,136,5131,4,4,4
GREECE:  TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5,6,2,,
TONGA ISLANDS,-21,-174,,,,
TURKMENISTAN:  ASHKHABAD,38.084,58.364,110000,4,4,4
CHINA:  GUIZHOU PROVINCE,27.4,104,3,2,1,2
MEXICO:  MARIA MADRE ISLAND,22,-106,4,3,1,3
CHILE:  ANTOFAGASTA,-22.5,-69,,,,
RUSSIA:  KAMCHATKA,54.6,163.5,,,,
GREECE:  OFF WEST COAST,38.2,20,,,,
CHINA:  XINJIANG PROVINCE,42,84,21,3,1,3
"AFGHANISTAN:  HINDU-KUSH, WEST PUNJAB",36,70.5,,2,,2
WASHINGTON,47.167,-122.617,8,4,1,4
"CHILE:  ANGOL, TRAIGUEN",-38,-73.5,57,2,2,2
"IRAN:  MAKHL-E-NAKHODA,BANDAR ABBAS,BAZAAR",27.28,56.46,,3,,
INDONESIA:  BANDA ACEH,5,95,,,,
TAJIKISTAN,39.2,70.8,3500,4,4,4
"GREECE:  CHIOS, OENOUSSAE; TURKEY: KARABURUN",38.718,26.482,7,3,1,4
ECUADOR: TUNGURAHUA,-1.237,-78.305,6000,3,,3
TONGA ISLANDS,-19.103,-174.378,,,,
TURKEY: KARLIOVA,39.503,40.671,320,3,3,3
CANADA:  QUEEN CHARLOTTE ISLANDS,53.62,-133.27,,,,
PHILIPPINES:  N LUZON,17,121.5,,,,
ITALY:  CENTRAL,42.5,12.7,,,,
PAPUA NEW GUINEA:  BISMARCK SEA,-5.5,154,,,,
CHINA:  SICHUAN PROVINCE,30.3,102.5,,1,2,1
CALIFORNIA:  SOUTHERN,33.75,-118.25,,3,,3
CHILE:  TIERRA DEL FUEGO,-54,-71,1,1,1,1
CHILE:  TIERRA DEL FUEGO,-54,-71,3,1,1,1
PHILIPPINES:  LUZON:  E,17,121.63,,2,1,2
IRAN: BUSHIRE,27.255,53.029,30,3,1,3
CHILE:  SOUTHERN,-53.5,-71.5,,,1,
CHINA:  YUNNAN PROVINCE,21.7,100.1,,1,,1
TURKEY,40,40,20,1,,
RUSSIA:  SEA OF OKHOTSK,46,144,,,,
BRAZIL,-8,-71,,,,
N. NEW ZEALAND,-37.8,177.2,,,,
PANAMA,6.5,-83,,,,
PERU,-15,-69.5,,,,
PERU:  CUSCO,-13.5,-72,83,3,,
INDONESIA:  JAVA:  GRESIK,-6,113,16,1,1,1
COLOMBIA:  ANBOLEDAS,7.79,-72.61,300,3,3,3
VENEZUELA: EL TOCUYO,9.71,-69.819,100,1,2,1
ECUADOR,-1.5,-78.2,,,,
INDIA-CHINA,28.5,96.5,1530,3,4,3
CHINA:  YUNNAN PROVINCE,23.5,103.1,,2,,2
COSTA RICA-NICARAGUA,11,-85,,1,,1
INDONESIA:  SERAM,-3.8,128.3,,,1,3
GUATEMALA:  SAN MARCOS,14.31,-91.917,,3,,3
INDONESIA:  BANDA SEA,-6.5,129.5,,,,
SOLOMON ISLANDS:  SOLOMON SEA,-10,159.5,,,,
MEXICO:  GUERRERO,16.5,-100.4,,2,,
VANUATU ISLANDS,-18.25,167.5,,,,
CHILE-ARGENTINA,-23.5,-67.5,1,,1,
"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",-14.25,-75.75,4,2,1,2
TONGA ISLANDS,-19.5,-176,,,,
MEXICO:  ACAPULCO,16.48,-98.22,,3,,3
PAPUA NEW GUINEA,-7,146,,,,
PAPUA NEW GUINEA:  BISMARCK SEA,-3.252,142.238,,,,1
PHILIPPINES,9.5,127.3,,,,
EL SALVADOR:  JUCUAPA,13,-87.8,1100,3,4,3
PERU,-15,-69.5,,,,
MEXICO:  OAXACA:  MIAHIATLAN,15.99,-96.605,1,2,1,2
NICARAGUA:  GULF OF FONSECA:  POTOSI,13,-87.5,,3,,3
NICARAGUA:  GULF OF FONSECA:  JINOTEGA,13,-87.5,,3,,3
ITALY:  S,41.6,13.8,,,,
TURKEY:  KURSUNLU,40.8,33.4,50,3,,
CALIFORNIA:  TERMINAL ISLAND,33.5,-118.2,,2,,
HAWAII,19.7,-156,,2,,
TAIWAN,23.8,121.7,68,3,2,3
CHINA:  TIBET (XIZANG PROVINCE),31.1,91.4,,1,,1
TAIWAN,22.9,121.5,17,2,1,2
INDIAN OCEAN:  S,-34,57,,,,
CHINA:   YUNNAN PROVINCE,26.7,100,,4,,4
"TURKEY:  PASINLER (HASANKALE), ERZURUM",40.029,41.544,103,2,3,2
PERU-BOLIVIA,-14.1,-69.9,,,,
JAPAN:  HOKKAIDO,42.15,143.85,33,3,1,3
JAPAN:  HOKKAIDO,41.7,142.5,,2,,2
HAWAII,19.11,-155.033,,,,
PHILIPPINES:  BUTUAN,9.5,127.25,,1,,1
COSTA RICA-PANAMA,10.3,-85.3,,,,
"TURKEY:  PASINLER (HASANKALE),ERZINCAN",39.8,39.5,94,3,,
CHINA:  YUNNAN PROVINCE,22.7,99.8,,1,,1
VANUATU ISLANDS,-18.5,169.25,,,,
CALIFORNIA:  KERN COUNTY,35,-119.017,12,4,1,4
CHINA:  TIBET (XIZANG PROVINCE),30.5,91.5,54,2,2,2
CALIFORNIA:  KERN COUNTY,35.333,-118.917,2,3,1,3
CHINA: SICHUAN PROVINCE,28.3,102.2,,3,,3
CHINA:  SHANXI PROVINCE,39,112.7,,3,,3
"TURKEY:  CEYHAN,MISIS",36.5,35.5,20,3,,
RUSSIA:  KAMCHATKA PENINSULA,52.755,160.057,,,4,2
CHINA:  YUNNAN PROVINCE,22.9,99.7,,1,,1
COSTA RICA,10.3,-83.5,29,,,
IRAN:  LAR,27.761,54.751,13,2,1,2
HAITI,18.4,-73.4,2,2,,
IRAN:  TORUD,35.385,54.979,970,,3,3
PERU:  LIMA,-12,-77.5,,,,
RUSSIA:  KURIL ISLANDS,50,156.5,,,,
"TURKEY:  YENICE, ONON",40.175,27.648,1070,2,4,2
PAPUA NEW GUINEA:  SOLOMON ISLANDS,-4.449,152.868,,1,,1
"IRAN:  KHAN-E-ZENYAN,KHATIRI",29,52,1,,1,
CHINA:  YUNNAN PROVINCE,24.2,103.2,,1,,1
"CHILE:  CHILLAN, CONCEPCION",-36.5,-72.5,9,4,1,4
DOMINICAN REPUBLIC: PUERTO PLATA,19.8,-70.7,,,,
TURKEY:  EDIRNE,41.4,26.3,37,2,,
VANUATU ISLANDS,-19,169,,,,
GREECE:  ASPROGERAKAS (KEPHALLENIA),38.1,20.6,,,,
GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA),38.3,20.8,476,4,3,4
CYPRUS:  PAPHOS,34.741,32.335,40,2,1,2
FIJI ISLANDS,-18.3,178.2,2,2,1,2
SOLOMON ISLANDS,-13.189,166.516,,,,
JAPAN:  KASHIMA,34,141.7,1,1,1,1
CHILE:  NORTHERN,-22.1,-68.7,3,3,,
PERU-ECUADOR,-3.4,-80.6,6,2,1,2
MEXICO:  CHIAPAS,17.283,-92.382,6,3,1,3
CHINA:  GANSU PROVINCE,39,101.3,,3,,3
AUSTRALIA:  ADELAIDE:  S,-34.9,138.7,,2,,
"MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR",24.5,95.3,,2,,2
SPAIN,37,-3.5,,3,,
GREECE,39.8,22.1,25,,,
ATLANTIC OCEAN:  NORTHERN,29.5,-29.5,,,,
GREECE:  SOPHADES (KARDITSA),39.3,22.2,31,2,,
AFGHANISTAN:  NORTHERN,36,66,2000,,,
CHINA:  ANHUI PROVINCE,31.6,116.6,,1,,1
"PHILIPPINES:  LUZON:  SORSOGON, BACON, LEGASPI",13,123.9,13,2,1,
NEVADA:  FALLON,39.4,-118.5,,2,,2
CHINA: NEI MONGOL,38.8,104.2,,2,,2
"IRAN:  TONBAK,KANGAN,SABAKHI,AKHTAR",27.5,52,1,3,1,
NEVADA:  STILLWATER RANGE,39.6,-118.5,,,,
ALGERIA:  ORLEANSVILLE,36.274,1.594,1243,3,4,3
ALGERIA:  EL ASNAM,36,1.5,,,,
ALGERIA:  EL ASNAM,36,1.5,,,,
ALGERIA:  EL ASNAM,36,1.5,,,,
CHINA:  SICHUAN PROVINCE,29.4,104.8,,1,,1
"INDONESIA:  SUMABAWA:  BIMA,RABA",-8,119,,1,,1
JAPAN:  HONSHU:  MIYAGI PREFECTURE,38.9,142.2,,,,
NEVADA:  DIXIE VALLEY,39.3,-118.2,,,,
VENEZUELA:  OFF THE COAST NEAR LA VELA,11.46,-69.57,,,,1
CALIFORNIA:  TERMINAL ISLAND,33.8,-118.2,,2,,
PAKISTAN:  QUETTA,30.5,67,12,2,1,2
KERMADEC ISLANDS,-28,-175.5,,,,
"PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO",8.1,123.2,400,2,,
NICARAGUA:  MANAGUA,13,-87,,2,,
GREECE:  S,37.5,22,,2,,
CHINA:  SICHUAN PROVINCE,30,101.8,39,2,1,2
CHINA:  XINJIANG PROVINCE,39.9,74.6,,2,,2
GREECE:  DRAKIA-AGRIA (MAGNESIA),39.4,23.1,8,4,1,4
CHILE,-30,-72,,,1,1
GREECE:  AEGEAN SEA,39.5,23,7,3,,
CHINA:  XINJIANG PROVINCE,44.2,83.6,,1,,1
INDIA:  LITTLE NICOBAR ISLAND,6.5,94,,,,
CHINA:  YUNNAN PROVINCE,26.5,101.1,,3,,3
"TURKEY:  SOKE, AYDIN",37.5,27,4,3,,
COLOMBIA-ECUADOR,0.2,-78.4,,3,,
COSTA RICA,10,-84.5,10,2,,
SOLOMON ISLANDS:  FAURO ISLAND,-6.9,155.7,,,,
EGYPT:  NILE DELTA,32.2,29.6,22,3,1,3
CHINA:  YUNNAN PROVINCE,26.6,101.8,,3,1,3
CHINA:  SICHUAN PROVINCE,29.9,101.4,,1,,1
"PERU:  MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI",-16.2,-71.3,1,2,,
PAPUA NEW GUINEA:  BISMARCK SEA,-5.1,152.924,,,,
MEXICO:  GUERRERO,17,-99.5,,3,,3
CHILE,-19,-70,,1,1,1
TONGA ISLANDS,-26,-175.241,,,,
HUNGARY,47.5,19.3,2,3,,
ECUADOR,-0.5,-80.5,,2,,
NICARAGUA:  PUERTO SAMOZA,12.2,-86.7,,2,,
"BALKANS NW:  SLOVENIA:  ILIRSKA BISTRICA,KOSEZE",45.5,14.3,,2,,
TURKEY:  ESKISEHIR,40,30.5,4,2,,
NEW ZEALAND:  NORTH ISLAND,-38.9,175.7,,1,,1
"NE. HOKKAIDO ISLAND, JAPAN",44.3,144.1,,,,
LEBANON:  LITANI,35.5,35.5,148,3,,
SPAIN,37,-4,7,3,,
FIJI ISLANDS,-15,-179,,,,
AFGHANISTAN:  KABUL,35.1,67.5,100,,,
GREECE:  DODECANESE,36.664,25.957,53,3,2,3
GREECE:  AEGEAN SEA,36.8,25.2,,,,
MYANMAR (BURMA),22.2,95.7,38,2,,
INDONESIA:  BANDA SEA,-5.5,130,,,,
"INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA",23.278,70.107,156,3,3,3
JAPAN:  IZU PENINSULA,33.8,138.8,,,,
CHINA:  SHANXI PROVINCE,37.8,114,,1,,1
RUSSIA:  KURIL ISLANDS,46,150.5,,,,
IRAN:  BASTAK,27.407,54.462,410,2,3,2
GREECE:  VOLOS-AGRIA (MAGNESIA),39.5,23,,,,
CHILE:  ANTOFAGASTA,-25.5,-71,,,,
CHINA:  HEBEI PROVINCE,40.5,115.5,,1,,1
"TUNISIA:  SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX",36.2,8.9,13,2,1,2
"TAIWAN:  HUALIEN, TAIPEI",23.9,121.6,11,2,1,2
GREECE:  STEPHANOVIKION-VELESTNON (MAGNESIA),39.4,22.8,2,2,1,2
ALASKA,51.292,-175.629,,1,1,3
ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,55,-165.2,,,,
SAMOA ISLANDS,-15.5,-173,,,,
INDONESIA:  JAVA SEA,-4.6,107.1,,,,
IRAN:  KACHU MESQAL,33.4,52.5,16,2,1,2
TURKEY,36.31,28.62,,2,,2
"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)",36.405,28.699,18,4,1,4
TURKEY:  ABANT,40.73,31.09,52,3,2,3
CHINA:  SHANXI PROVINCE,38,112.5,,1,,1
